target,fighter_A_stance_Orthodox,fighter_A_stance_Southpaw,fighter_A_stance_Switch,fighter_B_stance_Orthodox,fighter_B_stance_Southpaw,fighter_B_stance_Switch,is_title_fight_True,is_male_fight_True,weight_class_featherweight,weight_class_flyweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_strawweight,weight_class_welterweight,diff_wins,diff_losses,diff_fight_age,diff_height_inches,diff_reach_inches,diff_knockdowns,diff_significant_strikes_landed,diff_significant_strikes_thrown,diff_total_strikes_landed,diff_total_strikes_thrown,diff_takedowns_landed,diff_takedowns_thrown,diff_head_strikes_landed,diff_head_strikes_thrown,diff_body_strikes_landed,diff_body_strikes_thrown,diff_leg_strikes_landed,diff_leg_strikes_thrown,diff_distance_strikes_landed,diff_distance_strikes_thrown,diff_clinch_strikes_landed,diff_clinch_strikes_thrown,diff_ground_strikes_landed,diff_ground_strikes_thrown,diff_strike_accuracy,diff_sig_strike_accuracy,diff_takedown_accuracy,diff_head_strike_ratio,diff_body_strike_ratio,diff_leg_strike_ratio,diff_fight_duration,diff_win_rate,diff_knockdown_percentage,diff_ko_rate,diff_submission_rate,diff_finish_rate
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,7,2,-2.0,2,1,-18,-32,-23,-35,-3,-2,-16,-33,-1,0,-1,1,-6,-1,-2,-1,-10,-30,0.2674175382139984,0.08694029850746265,0.2272727272727273,-0.2909947147309933,-0.12464426073993766,-0.05109093373085784,0.75,-0.25,-0.005319148936170213,-0.75,-0.75,-0.25
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9,6,5,-3.0,0,2,26,81,29,84,-1,-1,19,68,2,6,5,7,25,72,-1,5,2,4,-0.1397268974277549,-0.11993243243243246,-0.8,-0.052727272727272706,-0.004040404040404042,0.06484848484848485,-1.0,-0.4,0.007272727272727273,0.6,0.6,0.8
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,-4,-7,1.0,3,0,75,129,228,305,5,6,58,110,18,22,-1,-3,1,-6,-1,-1,75,136,0.028099173553719048,-0.07144923707812872,0.02941176470588236,-0.1165694770345933,0.02647352647352648,-0.08718026159886626,-0.6666666666666665,0.5,-0.0049833887043189366,0.33333333333333337,0.33333333333333337,0.16666666666666669
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,4,-3.0,-2,0,-6,-16,0,-9,1,2,-1,-13,1,2,-6,-5,-5,-15,-2,-2,1,1,0.22120937139085967,0.08611825192802058,0.016666666666666663,-0.3101439101439102,0.03797823797823796,-0.18252018252018254,-0.6666666666666667,0.0,-0.010810810810810811,-0.16666666666666666,-0.16666666666666666,0.5
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,-5,-6,4.0,5,0,-3,19,-23,0,-2,-3,-6,14,-2,-1,5,6,5,32,0,0,-8,-13,0.022897491277620863,0.10022633810449805,0.2065217391304348,0.04126415264332833,0.0477611043816884,0.07170672619703083,-0.5714285714285716,-0.04761904761904767,0.018529826914798833,0.4761904761904762,0.4761904761904762,0.4285714285714286
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,-10,4.0,7,0,14,15,15,18,0,0,6,5,10,12,-2,-2,1,-3,12,17,1,1,0.16711288711288708,0.2593837535014006,-0.023809523809523836,0.08003208257776534,0.13645557260426838,-0.012275073231970982,-0.4444444444444444,-0.11111111111111116,0.007916027339935836,0.4444444444444444,0.4444444444444444,0.4444444444444444
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-15,0,-7,-2.0,0,0,22,49,34,62,1,1,17,44,2,2,3,3,5,16,-1,0,18,33,-0.3323635722472009,-0.29606923909123695,-0.30434782608695654,-0.0942622950819672,0.05942622950819672,0.0,0.0,-0.75,0.0,0.0,0.0,0.5
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-5,-4,0.0,3,0,46,131,35,122,-3,-8,23,99,9,15,14,17,51,143,4,8,-9,-20,-0.2799926546485264,-0.14320767983469412,0.08333333333333331,0.1483475248953673,0.03887044787607639,0.1703131765045461,-0.4750000000000001,-0.025000000000000022,0.0006662818107471015,-0.03749999999999998,-0.03749999999999998,0.09999999999999998
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-8,-6,3,0.0,0,0,8,51,17,73,3,3,11,51,0,3,-3,-3,-2,29,-3,-3,13,25,-0.12706571242680553,0.014406358668653751,0.6,0.1791044776119403,0.07860696517412935,-0.03980099502487562,-1.0,1.0,0.0,0.0,0.0,1.0
1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,-15,1,4,-1.0,-2,0,62,23,141,105,0,-27,59,27,1,-6,2,2,28,-29,25,33,9,19,0.3061767715939182,0.1774649609488438,0.37962962962962965,-0.4676837968409722,-0.07673533755538313,0.04555808656036447,-0.2999999999999998,-0.19999999999999996,0.0056947608200455585,0.5,0.5,0.7
